firstName,lastName,temporaryDisplayName,personId,teamId,jersey,pos,heightFeet,heightInches,heightMeters,weightPounds,weightKilograms,dateOfBirthUTC,nbaDebutYear,yearsPro,collegeName,lastAffiliation,country
LeBron,James,"James, LeBron",2544,1610612747,6,F,6,9,2.06,250.0,113.4,1984-12-30,2003,18,St. Vincent-St. Mary HS (OH),St. Vincent-St. Mary HS (OH)/USA,USA
Carmelo,Anthony,"Anthony, Carmelo",2546,1610612747,7,F,6,7,2.01,238.0,108.0,1984-05-29,2003,18,Syracuse,Syracuse/USA,USA
Udonis,Haslem,"Haslem, Udonis",2617,1610612748,40,F,6,8,2.03,235.0,106.6,1980-06-09,2003,18,Florida,Florida/USA,USA
Dwight,Howard,"Howard, Dwight",2730,1610612747,39,C-F,6,10,2.08,265.0,120.2,1985-12-08,2004,17,SW Atlanta Christian Academy (GA),SW Atlanta Christian Academy (GA)/USA,USA
Andre,Iguodala,"Iguodala, Andre",2738,1610612744,9,G-F,6,6,1.98,215.0,97.5,1984-01-28,2004,17,Arizona,Arizona/USA,USA
Chris,Paul,"Paul, Chris",101108,1610612756,3,G,6,0,1.83,175.0,79.4,1985-05-06,2005,16,Wake Forest,Wake Forest/USA,USA
Lou,Williams,"Williams, Lou",101150,1610612737,6,G,6,2,1.88,175.0,79.4,1986-10-27,2005,16,South Gwinnett HS (GA),South Gwinnett HS (GA)/USA,USA
LaMarcus,Aldridge,"Aldridge, LaMarcus",200746,1610612751,21,C-F,6,11,2.11,250.0,113.4,1985-07-19,2006,15,Texas-Austin,Texas-Austin/USA,USA
Rudy,Gay,"Gay, Rudy",200752,1610612762,8,F-G,6,8,2.03,250.0,113.4,1986-08-17,2006,15,Connecticut,Connecticut/USA,USA
Rajon,Rondo,"Rondo, Rajon",200765,1610612739,1,G,6,1,1.85,180.0,81.6,1986-02-22,2006,15,Kentucky,Kentucky/USA,USA
Kyle,Lowry,"Lowry, Kyle",200768,1610612748,7,G,6,0,1.83,196.0,88.9,1986-03-25,2006,15,Villanova,Villanova/USA,USA
P.J.,Tucker,"Tucker, P.J.",200782,1610612748,17,F,6,5,1.96,245.0,111.1,1985-05-05,2006,10,Texas-Austin,Texas-Austin/USA,USA
Paul,Millsap,"Millsap, Paul",200794,1610612755,8,F,6,7,2.01,257.0,116.6,1985-02-10,2006,15,Louisiana Tech,Louisiana Tech/USA,USA
